"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
195,160,"NZL","New Zealand",7,"Manawatu-Wanganui",30,"Horowhenua",195,"n.a. ( 270)","Unknown","Unknown",NA,NA
196,160,"NZL","New Zealand",7,"Manawatu-Wanganui",30,"Horowhenua",196,"n.a. ( 272)","Unknown","Unknown",NA,NA
197,160,"NZL","New Zealand",7,"Manawatu-Wanganui",30,"Horowhenua",197,"n.a. ( 274)","Unknown","Unknown",NA,NA
198,160,"NZL","New Zealand",7,"Manawatu-Wanganui",30,"Horowhenua",198,"n.a. ( 275)","Unknown","Unknown",NA,NA
199,160,"NZL","New Zealand",7,"Manawatu-Wanganui",31,"Manawatu",199,"n.a. ( 252)","Unknown","Unknown",NA,NA
200,160,"NZL","New Zealand",7,"Manawatu-Wanganui",31,"Manawatu",200,"n.a. ( 255)","Unknown","Unknown",NA,NA
201,160,"NZL","New Zealand",7,"Manawatu-Wanganui",31,"Manawatu",201,"n.a. ( 264)","Unknown","Unknown",NA,NA
202,160,"NZL","New Zealand",7,"Manawatu-Wanganui",31,"Manawatu",202,"n.a. ( 265)","Unknown","Unknown",NA,NA
203,160,"NZL","New Zealand",7,"Manawatu-Wanganui",31,"Manawatu",203,"n.a. ( 266)","Unknown","Unknown",NA,NA
204,160,"NZL","New Zealand",7,"Manawatu-Wanganui",32,"Palmerston North",204,"n.a. ( 268)","Unknown","Unknown",NA,NA
205,160,"NZL","New Zealand",7,"Manawatu-Wanganui",33,"Rangitikei",205,"n.a. ( 227)","Unknown","Unknown",NA,NA
206,160,"NZL","New Zealand",7,"Manawatu-Wanganui",33,"Rangitikei",206,"n.a. ( 251)","Unknown","Unknown",NA,NA
207,160,"NZL","New Zealand",7,"Manawatu-Wanganui",33,"Rangitikei",207,"n.a. ( 258)","Unknown","Unknown",NA,NA
208,160,"NZL","New Zealand",7,"Manawatu-Wanganui",33,"Rangitikei",208,"n.a. ( 259)","Unknown","Unknown",NA,NA
209,160,"NZL","New Zealand",7,"Manawatu-Wanganui",34,"Ruapehu",209,"n.a. ( 202)","Unknown","Unknown",NA,NA
210,160,"NZL","New Zealand",7,"Manawatu-Wanganui",34,"Ruapehu",210,"n.a. ( 213)","Unknown","Unknown",NA,NA
211,160,"NZL","New Zealand",7,"Manawatu-Wanganui",34,"Ruapehu",211,"n.a. ( 220)","Unknown","Unknown",NA,NA
